,subjsummary,subj,rel,obj,objsummary,ref
0,depression,depression,definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,disorder,"""depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning."""
1,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,depression,depression,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treating depression during the acute phase"""
2,maois,monoamine oxidase inhibitors (maois),definition,a class of antidepressant drugs,antidepressants,"""iproniazid was later classified as a monoamine oxidase inhibitor (maoi)"""
3,maois,monoamine oxidase inhibitors (maois),less commonly used,over time for treating depression,depression,"""consequently, maois have become less commonly used over time"""
4,depression with atypical features,depression with atypical features,subset,depression,depression,"""maois have demonstrated specific efficacy in treating depression with atypical features"""
5,maois,monoamine oxidase inhibitors (maois),specific efficacy in treating,depression with atypical features,atypical depression,"""maois have demonstrated specific efficacy in treating depression with atypical features"""
6,ect,electroconvulsive therapy (ect),highly effective,depression,depression,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations"""
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder (mdd),mdd,"therefore, most guidelines currently recommend ssris as the first-line treatment for patients with major depression."
1,tca,tricyclic antidepressants (tca),more effective,selective serotonin reuptake inhibitors (ssris),ssris,"however, some tcas can be more effective than ssris when used to treat hospitalized patients."
2,snris,serotonin-norepinephrine reuptake inhibitors (snris),second-line treatment,patients who do not respond to ssris,patients unresponsive to ssris,clinical guidelines commonly recommend prescribing snri to patients who do not respond to ssris.
3,ketamine,ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting,  cardiovascular symptoms",diverse,"common adverse effects of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms."
4,ssris,selective serotonin reuptake inhibitors (ssris),comparable to,tricyclic antidepressants (tca),tca,"in most systematic reviews and meta-analyses, ssris have demonstrated comparable efficacy to tcas."
5,venlafaxine,venlafaxine,comparable to,tricyclic antidepressants (tca),tca,"also, venlafaxine’s efficacy is comparable to that of tcas."
6,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache",multiple,"currently available ssris include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. they have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."
7,bupropion,bupropion,specific efficacy in treating,major depressive disorder (mdd) in individuals with low to moderate level of anxiety,mdd in individuals with anxiety,"for individuals with low to moderate levels of anxiety, the efficacy of bupropion in treating mdd is comparable to that of ssris."
8,trazodone,trazodone,widely used,as a sedative-hypnotic more than as an antidepressant,sedative-hypnotic,"in contemporary practice, it is much more likely to be used in low dose as a sedative-hypnotic than as an antidepressant."
9,mirtazapine,mirtazapine,comparable to,selective serotonin reuptake inhibitors (ssris),ssris,mirtazapine is about as effective as ssris.
10,vortioxetine,vortioxetine,benefits,depression-related cognitive impairment,cognitive impairment,"in the specific case of vortioxetine, have particular benefit in depression-related cognitive impairment."
11,esketamine,esketamine,approved by,the united states food and drug administration (fda) in march 2019 for treatment-resistant depression,fda for trd,it has been approved by the united states food and drug administration in march 2019 for treatment-resistant depression.
0,maoi,monoamine oxidase inhibitor (maoi),definition,a class of antidepressants,antidepressants,monoamine oxidase inhibitor (maoi) confirmed the role of monoaminergic transmission in depression.
1,imipramine,imipramine,example,tricyclic antidepressant (tca),tca,"imipramine, desipramine, nortriptyline, and amitriptyline are tcas."
2,ssri,selective serotonin reuptake inhibitor (ssri),definition,a class of antidepressants,antidepressants,selective serotonin reuptake inhibitor (ssri) improved tolerability.
3,snri,serotonin-norepinephrine reuptake inhibitor (snri),definition,a class of antidepressants,antidepressants,serotonin-norepinephrine reuptake inhibitor (snri) is commonly recommended for patients who do not respond to ssris.
4,esketamine,esketamine,treats,treatment-resistant depression,treatment-resistant depression,esketamine is used for treatment-resistant depression with a great affinity for nmda receptors than ketamine.
5,cbt,cognitive-behavioral therapy (cbt),definition,a psychotherapeutic intervention,psychotherapeutic intervention,cognitive-behavioral therapy (cbt) targets depressed patients' irrational beliefs and distorted cognitions that perpetuate depressive symptoms.
6,cbasp,cognitive behavioral analysis system of psychotherapy (cbasp),first-line treatment,chronic depression,chronic depression,the european psychiatric association recommends using the cognitive behavioral analysis system of psychotherapy (cbasp) for treating chronic depression.
7,psychotherapy,psychotherapy,overview,"combines elements of cbt with interpersonal therapy, supportive therapy, and psychoeducational intervention",comprehensive approach,overview of psychotherapy in depression describes the combination of different psychotherapeutic interventions.
8,ssri,selective serotonin reuptake inhibitor (ssri),side effects,"sexual dysfunction, loss of appetite, vomiting, nausea, irritability, anxiety, insomnia, headache",side effects,"ssris improve tolerability but have several minor side effects such as sexual dysfunction, loss of appetite, vomiting, nausea, irritability, anxiety, insomnia, and headache."
9,mdd,major depressive disorder (mdd),associated with,delay in clinical onset of antidepressant effects,delayed antidepressant effect,"study show an acute increase in monoamine in the synaptic cleft immediately following treatment, even when the depletion of tryptophan does not induce depressive-like behavior in healthy humans. this finding shows that research on the pharmacological options for treating depression must go beyond monoaminergic neurotransmission systems."
0,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder,mdd,"cbt, be a first-line treatment for mild to moderate major depressive episode in adult;"
1,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive disorder,mdd,"ipt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adult;"
2,pst,problem-solving therapy (pst),comparable to,other psychotherapeutic methods used to treat depression,other methods,pst be comparable to other psychotherapeutic method use to treat depression
3,mft,marital and family therapy (mft),treats,some aspects of major depressive disorder,mdd,marital and family therapy (mft) be effective in treat some aspect of depression.
4,cbt,cognitive-behavioral therapy (cbt),treats,major depressive disorder with comorbid personality disorders,mdd with comorbidities,"schema therapy be another cbt-derive therapy that can be use in patient who have fail classical cbt, like patient with personality disorder comorbidity."
5,mbct,mindfulness-based cognitive therapy (mbct),benefits,patients at high risk of relapse,high risk patients,"it be a potential alternative to reduce, or even stop, antidepressant treatment without increase the risk of depressive recurrence, especially for patient at a high risk of relapse."
6,physical exercise,physical exercise,associated with,improvement in quality of life for patients with major depressive disorder,quality of life,exercise also promote improvement in one’s quality of life in general.
7,psycho-education,psycho-education,definition,intervention educating depressed patients and their families about symptoms and management of major depressive disorder,intervention,psycho-education: this type of intervention educate depress patient and (with their permission) family member involve in the patient’s life about depression symptom and management.
0,psychotherapy,psychotherapy,treats,all depression,all depression,although psychotherapy be effective for treat depression and improve patient’s quality of life
1,ect,electroconvulsive therapy (ect),definition,a treatment for resistant depression,resistant depression treatment,ect be the most well-know treatment for resistant depression
2,ect,electroconvulsive therapy (ect),highly effective,major unipolar depression,mud,"ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support"
3,rtms,repetitive transcranial magnetic stimulation (rtms),definition,a type of biological stimulation that affects brain metabolism and neuronal electrical activity,biological stimulation,"this method, which be a type of biological stimulation that affect brain metabolism and neuronal electrical activity"
4,rtms,repetitive transcranial magnetic stimulation (rtms),more effective,placebo condition,placebo,treatment combine rtms and antidepressant be significantly more effective than placebo condition
5,tdcs,transcranial direct current stimulation (tdcs),definition,a technique that delivers weak current to the brain via electrodes placed on the scalp,brain stimulation technique,tdcs this technique deliver weak current to the brain via electrode place on the scalp
6,tdcs,transcranial direct current stimulation (tdcs),less effective,antidepressants and rtms,"antidepressants, rtms",its effect remain low than that of antidepressant and rtms
7,vns,vagus nerve stimulation (vns),definition,a therapeutic method used for resistant unilateral or bipolar depression,resistant depression treatment,vns be a therapeutic method that have be use for the last sixteen year to treat resistant unilateral or bipolar depression
8,dbs,deep brain stimulation (dbs),definition,stimulation of subgenual cingulate white matter for resistant depression,resistant depression treatment,"accord to the literature, dbs of the subgenual cingulate white matter (brodmann area = ba 25) elicit a clinical response in 60% of resistant depression patient after six month"
9,mst,magnetic seizure therapy,definition,a technique to induce a therapeutic seizure with magnetic stimulation under anesthesia,therapeutic seizure induction,magnetic seizure therapy involve induce a therapeutic seizure by apply magnetic stimulation to the brain while the patient be under anesthesia
10,phototherapy,phototherapy,definition,depression treatment using intense light exposure,depression treatment,the first description of reduced depression symptom due to intense light exposure be present in 1984
