,subjsummary,subj,rel,obj,objsummary,ref
0,maois,monoamine oxidase inhibitors (maois),subset,antidepressants,antidepressants,"""monoamine oxidase inhibitor iproniazid be the first drug define as an antidepressant"""
1,maois,monoamine oxidase inhibitors (maois),associated with,"hepatotoxicity, hypertensive crisis",side effects,"""due to their irreversible inhibition of monoamine oxidase, moais have numerous side effect, such as hepatotoxicity and hypertensive crisis"""
2,maois,monoamine oxidase inhibitors (maois),specific efficacy in treating,depression with atypical features,atypical depression,"""maois have demonstrate specific efficacy in treat depression with atypical feature, such as reactive mood, reverse neuro-vegetative symptom, and sensitivity to rejection"""
3,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression,major depression,"""most guideline currently recommend ssris as the first-line treatment for patient with major depression"""
4,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive issues, irritability, anxiety, insomnia, headache",side effects,"""they have elicit different tolerance rate and side effect - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"""
5,ssris,selective serotonin reuptake inhibitors (ssris),comparable to,tricyclic antidepressants (tcas),tcas,"""in most systematic review and meta-analysis, ssris have demonstrate comparable efficacy to tcas"""
6,snris,serotonin-norepinephrine reuptake inhibitors (snris),second-line treatment,patients not responding to ssris,ssri-resistant patients,"""clinical guideline commonly recommend prescribing snri to patient who do not respond to ssris"""
7,snris,serotonin-norepinephrine reuptake inhibitors (snris),comparable to,"selective serotonin reuptake inhibitors (ssris), tricyclic antidepressants (tcas)","ssris, tcas","""venlafaxine’s efficacy be comparable to that of tcas"""
8,ect,electroconvulsive therapy (ect),highly effective,resistant forms of depression,resistant depression,"""electroconvulsive therapy be the most effective somatic therapy for depression in some specific situation"""
9,resistant depression,resistant forms of depression,treats,"combination of medication, psychotherapy, somatic therapy",combination therapy,"""combine medication, psychotherapy, and somatic therapy remain the most effective way to manage resistant form of depression"""
0,mirtazapine,mirtazapine,properties,increases the availability of serotonin or norepinephrine and antagonizes serotoninergic subtype receptors,serotonin/norepinephrine availability & receptor antagonism,"mirtazapine and mianserin be tetracyclic compound believe to increase the availability of serotonin or norepinephrine (or both), at least initially. mirtazapine’s ability to antagonize serotoninergic subtype receptor, <5-ht2a> and <5-ht2c>, could also increase norepinephrine and dopamine release in cortical region."
1,mirtazapine,mirtazapine,comparable to,ssris,ssris,mirtazapine be about as effective as ssris.
2,vilazodone/vortioxetine,vilazodone and vortioxetine,benefits,produce less sexual dysfunction and benefits in depression-related cognitive impairment,less sexual dysfunction & cognitive benefits,"however, they appear to produce less sexual dysfunction and, in the specific case of vortioxetine, have particular benefit in depression-relate cognitive impairment."
3,antidepressants,different class of antidepressants,consistency,no significant difference in terms of efficacy,efficacy consistency,"in conclusion, no significant difference have be find between different class of antidepressants in terms of their efficacy."
4,citalopram/escitalopram/fluoxetine/sertraline/vortioxetine,"citalopram, escitalopram, fluoxetine, sertraline, and vortioxetine",more tolerable,compare to other antidepressants,higher tolerability,"concern the acceptability of these drugs, citalopram, escitalopram, fluoxetine, sertraline, and vortioxetine have be deem more tolerable than other antide- pressant."
5,ketamine,ketamine,treats,treatment-resistant unipolar and bipolar depression and acute suicidal ideation,depression & suicidal ideation,"ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."
6,ketamine,ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms",various side effects,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms."
7,ketamine,ketamine,not effective,as a long-term solution due to potential for neurotoxicity and drug dependence,long-term solution concerns,"such adverse effect tend to be brief in acute, low-dose treatment, whereas prolonged exposure may predispose patient to neurotoxicity and drug dependence."
8,cbt/ipt,cognitive-behavioral therapy (cbt) and interpersonal therapy (ipt),overview,psychotherapeutic methods for mild to moderate major depressive disorder,mild/moderate mdd treatment,"depression-focused psychotherapy be typically consider the initial treatment method for mild to moderate mdd. base on significant clinical evidence, two specific psychotherapeutic methods be recommend: cognitive-behavioral therapy (cbt) and interpersonal therapy (ipt)."
0,cbt,cognitive-behavioral therapy,first-line treatment,mild to moderate major depressive disorder,mdd,"cbt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adult; it be also a well-establish intervention for adolescent with depression [25]."
1,ipt,interpersonal therapy,first-line treatment,mild to moderate major depressive disorder,mdd,"ipt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adult; it be also a well-establish intervention for adolescent with depression [25]."
2,exercise,physical exercise,definition,a complementary intervention for depression aimed to alleviate symptoms and prevent relapse,complementary intervention,"most guideline for treat depression, include the national institute for health and care excellence, the american psychiatric association, and the royal australian and new zealand college of psychiatrist, recommend that depress patient perform regular physical activity to alleviate symptom and prevent relapse [104]."
3,mft,marital and family therapy,treats,aspects of depression,depression,marital and family therapy (mft) be effective in treat some aspect of depression.
4,pst,problem-solve therapy,comparable to,other psychotherapeutic methods,psychotherapeutic methods,"pst have be use in different clinical situation, like prevent depression among the elderly and treat patient with mild depressive symptom, especially in primary care. despite its small effect size, pst be comparable to other psychotherapeutic method use to treat depression [88,90]."
5,ect,electroconvulsive therapy,highly effective,depression,depression,"ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support [110]."
6,st,supportive therapy,overview,"utilizes sympathetic listening, emotionally attuned listen, empathic paraphrasing to improve patient's self-esteem and adaptive coping skills",therapy approach,"although st be not as well-structure or well-evaluate as cbt or ipt, it be still commonly use to support depressed patient. in addition to sympathetic listening and express concern for the patient’s problem, st require emotionally attuned listen, empathic paraphrasing, explain the nature of the patient’s suffering, and reassure and encourage they."
7,mbct,mindfulness based cognitive therapy,benefits,patients at high risk of relapse,high risk patients,"thus, mbct be a potential alternative to reduce, or even stop, antidepressant treatment without increase the risk of depressive recurrence, especially for patient at a high risk of relapse (i.e., patient with more than two previous episode and patient who have experience childhood abuse or trauma) [102]."
8,psycho-education,psycho-education,goal,"improve clinical course, treatment adherence, and psychosocial function in patients with depression",clinical improvement,"many study have highlight the role of psycho-education in improve the clinical course, treatment adherence, and psychosocial function in patient with depression [103]."
0,tdcs,transcranial direct current stimulation (tdcs),associated with,remote supervised treatment,remote treatment,"tdcs, as a relatively simple and portable technology, be well-suited for remote supervised treatment and assessment at home."
1,vns,vagus nerve stimulation (vns),definition,a therapeutic method using implanted pacemaker to treat resistant depression,therapeutic method,vns involves the implantation of a pacemaker under the collarbone that be connect to an electrode surround the left vagus nerve.
2,vns,vagus nerve stimulation (vns),subset,somatic interventions for depression,somatic interventions,"furthermore, somatic intervention for depression need to be regularly assess and integrate into psychiatrist’s therapeutic arsenal."
3,ect,electroconvulsive therapy (ect),widely used,treatment for depression,depression treatment,ect remain the most document and effective method in this category.
4,rtms,repetitive transcranial magnetic stimulation (rtms),comparable to,ect for treating depression,ect,"rtms be an interesting technique as well, as it offer a well-tolerated profile."
5,phototherapy,phototherapy,treats,seasonal and non-seasonal depression,seasonal depression,"importantly, this treatment method be effective both for those with seasonal and non-seasonal depression."
6,antidepressants,antidepressants,treatment options,all depression,depression,"the three principal method available to caregiver be antidepressants, specifically structure psychotherapy, and somatic approach."
7,depression pharmacotherapy,depression pharmacotherapy,associated with,gamma-aminobutyric acid regulation and glutamate transmission,neurotransmitter regulation,research on depression pharmacotherapy continue to examine new molecule implicate in gamma-aminobutyric acid regulation and glutamate transmission.
8,somatic interventions,somatic interventions for depression,overview,"combination of medication, psychotherapy, and somatic therapy",combination therapy,"combination of medication, psychotherapy, and somatic therapy remain the most effective way to manage resistant form of depression."
0,ketamine,ketamine,treats,treatment-resistant depression,trd,ketamine for treatment-resistant depression: recent development and clinical applications. [pmid: 27053196 doi: 10.1136/eb-2016-102355]
1,intranasal esketamine,intranasal esketamine,form of,ketamine,ketamine,intranasal esketamine: a novel drug for treatment-resistant depression. [pmid: 32729898 doi: 10.1093/ajhp/zxaa191]
2,trd,treatment-resistant depression,associated with,major depressive disorder,mdd,intranasal esketamine: from origin to future implications in treatment-resistant depression. [pmid: 33647726 doi: 10.1016/j.jpsychires.2021.02.020]
3,nefazodone,nefazodone,side effects,hepatobiliary transport inhibition,hepatobiliary inhibition,inhibition of hepatobiliary transport as a predictive method for clinical hepatotoxicity of nefazodone. [pmid: 16410371 doi: 10.1093/toxsci/kfj095]
4,vortioxetine,vortioxetine,treats,major depressive disorder,mdd,vortioxetine: a novel antidepressant for the treatment of major depressive disorder. [pmid: 30457395 doi: 10.1080/17460441.2019.1546691]
5,bupropion,bupropion,more effective,ssris for major depressive disorder with high levels of anxiety (anxious depression),anxious depression,efficacy of bupropion and the selective serotonin reuptake inhibitors in the treatment of major depressive disorder with high levels of anxiety (anxious depression): a pool analysis of 10 studies. [pmid: 18605812 doi: 10.4088/jcp.v69n0812]
6,mirtazapine,mirtazapine,comparable to,selective serotonin reuptake inhibitors for the treatment of major depressive disorder,ssris,a meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder. [pmid: 18308801 doi: 10.1177/0269881107083808]
7,ssris,selective serotonin reuptake inhibitors,less effective,mirtazapine for the treatment of major depressive disorder,mirtazapine,a meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder. [pmid: 18308801 doi: 10.1177/0269881107083808]
0,ect,electroconvulsive therapy,treats,treatment-resistant major depression,trmd,"""electroconvulsive therapy and risk of dementia - a nationwide cohort study in taiwan."""
1,ect,electroconvulsive therapy,associated with,psychiatric readmission reduction,readmission reduction,"""association of electroconvulsive therapy with psychiatric readmission in us hospital."""
2,ect,electroconvulsive therapy,side effects,in-hospital mortality risk,mortality risk,"""in-hospital mortality among electroconvulsive therapy recipients: a 17 -year nationwide population-based retrospective study."""
3,rtms,repetitive transcranial magnetic stimulation,treats,major depressive disorder,mdd,"""effectiveness of psychoeducation for depression: a systematic review."""
4,exercise,exercise,treats,severe major depression,smd,"""portuguese and brazilian guideline for the treatment of depression: exercise as medicine."""
5,rtms,repetitive transcranial magnetic stimulation,associated with,quality of life improvement,qol improvement,"""effect of psychotherapy for depression on quality of life: meta-analysis."""
6,psychotherapy,psychotherapy,treats,depression,all depression,"""training with psychoeducation for depression: a systematic review."""
7,vns,vagus nerve stimulation,treats,treatment-resistant depression,trd,"""therapeutic modality for treatment resistant depression: focus on vagal nerve stimulation and ketamine."""
8,dbs,deep brain stimulation,treats,treatment-resistant depression,trd,"""deep brain stimulation for treatment-resistant depression."""
9,light therapy,light therapy,treats,mood disorders,mood disorders,"""the efficacy of light therapy in the treatment of mood disorders: a review and meta-analysis of the evidence."""
10,ect,electroconvulsive therapy,symptom,improvement in major depression,improvement in md,"""improvement after two sessions of electroconvulsive therapy predicts final remission in in-patients with major depression."""
0,mdd,major depressive disorder,definition,unipolar major depression,unipolar major depression,"we include only randomise control trial that compare any of the follow 12 new - generation antidepressant ( bupropion , citalopram , duloxetine , escitalopram , ﬂuoxetine , ﬂuvoxamine , milnacipran , mirtazapine , paroxetine , reboxetine , sertraline , and venlafaxine ) as monotherapy in the acute - phase treatment of adult with unipolar major depression."
